135
-1	0	32	176	16	16
-1	0	48	176	16	16
-1	0	64	176	16	16
-1	0	80	176	16	16
-1	0	96	176	16	16
-1	0	112	176	16	16
-1	0	128	176	16	16
-1	0	144	176	16	16
-1	0	160	176	16	16
-1	0	176	176	16	16
-1	0	192	176	16	16
-1	0	208	176	16	16
-1	0	224	176	16	16
-1	0	240	176	16	16
-1	0	256	176	16	16
-1	0	272	176	16	16
-1	0	288	176	16	16
-1	0	304	176	16	16
-1	0	320	176	16	16
-1	0	336	176	16	16
-1	0	352	176	16	16
-1	0	368	176	16	16
-1	0	384	176	16	16
-1	0	400	176	16	16
-1	0	416	176	16	16
-1	0	432	176	16	16
-1	0	448	176	16	16
-1	0	464	176	16	16
-1	0	480	176	16	16
-1	0	496	176	16	16
-1	0	512	176	16	16
-1	0	1136	176	16	16
-1	0	1152	176	16	16
-1	0	1168	176	16	16
-1	0	1184	176	16	16
-1	0	1200	176	16	16
-1	0	1216	176	16	16
-1	0	1232	176	16	16
-1	0	1248	176	16	16
-1	0	1264	176	16	16
-1	0	1280	176	16	16
-1	0	1296	176	16	16
-1	0	1312	176	16	16
-1	0	1328	176	16	16
-1	0	1344	176	16	16
-1	0	1360	176	16	16
-1	0	1376	176	16	16
-1	0	1808	176	16	16
-1	0	1824	176	16	16
-1	0	1840	176	16	16
-1	0	1856	176	16	16
-1	0	1872	176	16	16
-1	0	1888	176	16	16
-1	0	1904	176	16	16
-1	0	1920	176	16	16
-1	0	1936	176	16	16
-1	0	1952	176	16	16
-1	0	1968	176	16	16
-1	0	1984	176	16	16
-1	0	2000	176	16	16
-1	0	2016	176	16	16
-1	0	2032	176	16	16
2	1	230	153	38	15
1	1	271	139	30	34
1	1	333	139	30	34
1	1	392	138	30	34
1	1	463	137	30	34
4	1	555	64	18	29
4	1	708	61	18	29
2	1	925	73	38	15
2	1	1257	151	38	15
3	1	1215	58	32	32
1	1	1288	58	30	34
5	1	1353	-271	26	41
5	1	1296	148	26	41
1	1	1442	59	30	34
1	1	1475	27	30	34
4	1	1726	41	18	29
4	1	1869	52	18	29
1	1	1875	131	30	34
1	1	1960	131	30	34
-1	0	-436	-234	16	16
3	1	800	90	32	32
2	1	878	74	38	15
4	1	1052	68	18	29
4	1	1574	69	18	29
-1	0	16	160	16	16
-1	0	0	176	16	16
-1	0	16	176	16	16
-1	0	16	128	16	16
-1	0	16	144	16	16
-1	0	16	112	16	16
-1	0	16	80	16	16
-1	0	16	96	16	16
-1	0	1488	64	16	16
-1	0	1504	64	16	16
-1	0	1520	64	16	16
-1	0	848	96	16	16
-1	0	864	96	16	16
-1	0	880	96	16	16
-1	0	896	96	16	16
-1	0	912	96	16	16
-1	0	928	96	16	16
-1	0	944	96	16	16
-1	0	1232	96	16	16
-1	0	1296	96	16	16
-1	0	1312	96	16	16
-1	0	1328	96	16	16
-1	0	1344	96	16	16
-1	0	1360	96	16	16
-1	0	1456	96	16	16
-1	0	816	128	16	16
-1	0	1424	128	16	16
-1	0	592	160	16	16
-1	0	656	160	16	16
-1	0	720	160	16	16
-1	0	784	160	16	16
-1	0	1040	160	16	16
-1	0	1056	160	16	16
-1	0	1072	160	16	16
-1	0	1472	64	16	16
-1	0	832	96	16	16
-1	0	1216	96	16	16
-1	0	1280	96	16	16
-1	0	1440	96	16	16
-1	0	800	128	16	16
-1	0	1408	128	16	16
-1	0	576	160	16	16
-1	0	640	160	16	16
-1	0	704	160	16	16
-1	0	768	160	16	16
-1	0	1024	160	16	16
-1	0	1600	160	16	16
-1	0	1664	160	16	16
-1	0	1728	160	16	16
